# q1, q2, q3, q4, q5, q6 (rad)
0.000000, -1.571000, 0.785000, -3.142000, -1.571000, 0.000000
2.951561, 2.681366, 0.896011, -2.006581, -1.570796, 1.760828
2.946620, 2.687027, 0.884408, -2.000639, -1.570796, 1.765769
2.941913, 2.693984, 0.870929, -1.994117, -1.570796, 1.770476
2.937572, 2.702069, 0.855888, -1.987161, -1.570796, 1.774817
2.933715, 2.711078, 0.839649, -1.979930, -1.570796, 1.778674
2.930446, 2.720775, 0.822624, -1.972603, -1.570796, 1.781943
2.927849, 2.730898, 0.805265, -1.965367, -1.570796, 1.784540
2.925990, 2.741165, 0.788054, -1.958423, -1.570796, 1.786399
2.924912, 2.751279, 0.771493, -1.951976, -1.570796, 1.787477
2.924639, 2.760940, 0.756089, -1.946232, -1.570796, 1.787750
2.925171, 2.769850, 0.742333, -1.941387, -1.570796, 1.787218
2.926489, 2.777732, 0.730684, -1.937620, -1.570796, 1.785900
2.928553, 2.784335, 0.721543, -1.935081, -1.570796, 1.783836
2.931305, 2.789450, 0.715228, -1.933881, -1.570796, 1.781084
2.934672, 2.792919, 0.711960, -1.934083, -1.570796, 1.777717
2.938563, 2.794645, 0.711843, -1.935691, -1.570796, 1.773826
2.942879, 2.794592, 0.714860, -1.938656, -1.570796, 1.769510
2.947505, 2.792788, 0.720878, -1.942870, -1.570796, 1.764884
2.952324, 2.789318, 0.729657, -1.948179, -1.570796, 1.760065
2.957209, 2.784317, 0.740871, -1.954391, -1.570796, 1.755180
2.954185, 2.719280, 0.750643, -1.899126, -1.570796, 1.758204
2.949350, 2.725905, 0.737152, -1.892261, -1.570796, 1.763039
2.944742, 2.734012, 0.721391, -1.884607, -1.570796, 1.767647
2.940490, 2.743424, 0.703682, -1.876310, -1.570796, 1.771899
2.936711, 2.753928, 0.684408, -1.867540, -1.570796, 1.775678
2.933506, 2.765270, 0.664014, -1.858488, -1.570796, 1.778883
2.930958, 2.777164, 0.643002, -1.849369, -1.570796, 1.781431
2.929133, 2.789287, 0.621931, -1.840422, -1.570796, 1.783256
2.928072, 2.801295, 0.601410, -1.831908, -1.570796, 1.784317
2.927798, 2.812818, 0.582082, -1.824104, -1.570796, 1.784591
2.928314, 2.823483, 0.564609, -1.817296, -1.570796, 1.784075
2.929599, 2.832920, 0.549640, -1.811764, -1.570796, 1.782790
2.931615, 2.840786, 0.537775, -1.807765, -1.570796, 1.780774
2.934306, 2.846787, 0.529518, -1.805508, -1.570796, 1.778083
2.937599, 2.850698, 0.525229, -1.805131, -1.570796, 1.774790
2.941407, 2.852388, 0.525088, -1.806680, -1.570796, 1.770982
2.945630, 2.851825, 0.529074, -1.810103, -1.570796, 1.766759
2.950159, 2.849076, 0.536973, -1.815253, -1.570796, 1.762230
2.954876, 2.844296, 0.548400, -1.821899, -1.570796, 1.757513
2.959658, 2.837705, 0.562846, -1.829755, -1.570796, 1.752731
2.957999, 2.811893, 0.499726, -1.740823, -1.570796, 1.754390
2.953339, 2.821408, 0.480185, -1.730797, -1.570796, 1.759050
2.948895, 2.833156, 0.456761, -1.719120, -1.570796, 1.763494
2.944793, 2.847061, 0.429559, -1.705823, -1.570796, 1.767596
2.941144, 2.863039, 0.398679, -1.690922, -1.570796, 1.771245
2.938045, 2.881010, 0.364197, -1.674411, -1.570796, 1.774344
2.935580, 2.900917, 0.326118, -1.656239, -1.570796, 1.776809
2.933808, 2.922766, 0.284297, -1.636267, -1.570796, 1.778581
2.932774, 2.946721, 0.238249, -1.614173, -1.570796, 1.779615
2.932499, 2.973354, 0.186602, -1.589160, -1.570796, 1.779890
2.932984, 3.004709, 0.124833, -1.558746, -1.570796, 1.779405
2.934213, 3.065431, 0.000000, -1.494635, -1.570796, 1.778176
2.936148, 3.067757, 0.000000, -1.496960, -1.570796, 1.776241
2.938735, 3.069885, 0.000000, -1.499089, -1.570796, 1.773654
2.941904, 3.071763, 0.000000, -1.500967, -1.570796, 1.770485
2.945572, 3.073343, 0.000000, -1.502546, -1.570796, 1.766817
2.949641, 3.074584, 0.000000, -1.503787, -1.570796, 1.762748
2.954005, 3.075454, 0.000000, -1.504658, -1.570796, 1.758384
2.958553, 3.075930, 0.000000, -1.505133, -1.570796, 1.753836
2.963164, 3.129507, -0.114657, -1.444054, -1.570796, 1.749225
